question,option_a,option_b,option_c,option_d,map_a,map_b,map_c,map_d,level
How does your skin react to fragrance in products?,No reaction,Mild irritation,Redness or itching,Severe reaction,normal,combination,sensitive,sensitive,advanced
What type of cleanser do you prefer?,Foaming,Gel,Cream,Micellar water,oily,combination,dry,sensitive,advanced
How does your skin behave after sun exposure?,No change,Feels dry,Gets oily,Turns red or itchy,normal,dry,oily,sensitive,advanced
Which ingredient feels best on your skin?,Hyaluronic Acid,Salicylic Acid,Aloe Vera,Vitamin C,dry,oily,sensitive,combination,advanced
What’s your ideal skincare texture?,Lightweight and fast-absorbing,Rich and creamy,Soothing and cooling,Minimal and matte,oily,dry,sensitive,normal,advanced
How does your skin react to retinol?,No change,Drier,Breaks out,Burns or stings,normal,dry,oily,sensitive,advanced
What’s your preferred exfoliation method?,Scrub,Chemical exfoliant,Enzyme peel,No exfoliation,oily,dry,combination,sensitive,advanced
How does your skin react to layering products?,Feels hydrated,Feels greasy,Feels irritated,No change,dry,oily,sensitive,normal,advanced
Which ingredient do you avoid?,Fragrance,Alcohol,Essential oils,Heavy oils,sensitive,dry,combination,oily,advanced
How does your skin behave with actives?,Improves,Breaks out,Feels dry,Feels irritated,normal,oily,dry,sensitive,advanced
What’s your go-to calming ingredient?,Aloe,Centella,Chamomile,Niacinamide,sensitive,dry,combination,oily,advanced
How does your skin react to vitamin C?,Brightens,Breaks out,Burns or stings,No change,normal,oily,sensitive,dry,advanced
Which product do you layer last?,Moisturizer,SPF,Serum,Oil,dry,sensitive,combination,oily,advanced
How does your skin react to acids?,Smooths,Burns,No change,Redness,dry,sensitive,normal,oily,advanced
What’s your ideal nighttime product?,Retinol,Hydrating mask,Barrier cream,Light serum,oily,dry,sensitive,combination,advanced
How does your skin behave with heavy creams?,Feels hydrated,Feels greasy,Breaks out,Feels irritated,dry,oily,combination,sensitive,advanced
Which ingredient do you trust most?,Hyaluronic Acid,Niacinamide,Retinol,Vitamin C,dry,oily,combination,sensitive,advanced
How does your skin react to clay masks?,Feels refreshed,Feels tight,Feels irritated,No change,dry,oily,sensitive,normal,advanced
What’s your skin’s biggest challenge with actives?,Breakouts,Dryness,Sensitivity,None,oily,dry,sensitive,normal,advanced
Which product makes your skin feel safest?,Barrier cream,Soothing serum,Minimal SPF,Fragrance-free moisturizer,sensitive,dry,normal,combination,advanced
