question,option_a,option_b,option_c,option_d,map_a,map_b,map_c,map_d,level
How often do you notice shine on your face?,Rarely,Very often,Only on T-zone,When using certain products,dry,oily,combination,sensitive,intermediate
What’s your biggest skincare concern?,Dry patches,Oily T-zone,Redness or irritation,Uneven tone,dry,oily,sensitive,combination,intermediate
How does your skin react to new products?,Feels drier,Feels oilier,Breaks out,Burns or stings,dry,oily,combination,sensitive,intermediate
Which area of your face feels most oily?,None,T-zone,Cheeks,Jawline,dry,combination,oily,sensitive,intermediate
How does your skin feel mid-day?,Still hydrated,Shiny or greasy,Dry in some areas,Oily in some areas,normal,oily,dry,combination,intermediate
How often do you experience breakouts?,Never,Occasionally,Frequently,Always,normal,combination,oily,sensitive,intermediate
How does your skin react to exfoliation?,Feels smoother,Feels tight,Feels oily,Burns or stings,normal,dry,oily,sensitive,intermediate
What’s your ideal skincare texture?,Lightweight and fast-absorbing,Rich and creamy,Soothing and cooling,Minimal and matte,oily,dry,sensitive,normal,intermediate
How does your skin behave in winter?,Dry and flaky,Oily and congested,Red and irritated,No change,dry,oily,sensitive,normal,intermediate
Which product do you avoid?,Heavy creams,Foaming cleansers,Fragrance-based products,Exfoliators,oily,dry,sensitive,combination,intermediate
How does your skin feel after applying toner?,Tight and clean,Hydrated,Oily,Burning sensation,dry,normal,oily,sensitive,intermediate
What’s your go-to product for calming skin?,Aloe gel,Moisturizer,SPF,Vitamin C,sensitive,dry,normal,combination,intermediate
How does your skin react to stress?,Breaks out,Feels dry,Turns red,No change,oily,dry,sensitive,normal,intermediate
Which area feels most sensitive?,Cheeks,T-zone,Jawline,All over,sensitive,combination,oily,dry,intermediate
How often do you change skincare products?,Rarely,Seasonally,Monthly,Weekly,normal,dry,combination,sensitive,intermediate
What’s your ideal finish after skincare?,Matte,Dewy,Natural,No preference,oily,dry,combination,normal,intermediate
How does your skin react to masks?,Feels refreshed,Feels tight,Feels oily,Burns or stings,normal,dry,oily,sensitive,intermediate
Which product do you reapply most?,Moisturizer,SPF,Toner,Serum,dry,sensitive,combination,oily,intermediate
How does your skin behave after exercise?,Gets oily,Feels dry,Turns red,No change,oily,dry,sensitive,normal,intermediate
What’s your biggest skincare struggle?,Dryness,Oiliness,Sensitivity,Combination issues,dry,oily,sensitive,combination,intermediate
