Ingredient,Type,Purpose,Skin Type
Dipeptide Diaminobutyroyl Benzylamide Diacetate,Peptide,Reduces puffiness and dark circles,sensitive skin
Acetyl Hexapeptide-8,Peptide,"Anti-aging, reduces wrinkles",all skin types
Laminaria Digitata Extract,Extract,"Provides minerals, hydrates, and soothes skin",all skin types
Hyaluronic Acid,Humectant,"Retains moisture, hydrates skin","dry,sensitive skin"
Octocrylene,UV Filter,Protects skin from UVB rays,all skin types
Butyl Methoxydibenzoylmethane,UV Filter,Protects skin from UVA rays,all skin types
Ethylhexyl Triazone,UV Filter,Protects skin from UVB rays,all skin types
Silica,Absorbent/Thickener,"Provides a matte finish, absorbs excess oil",oily
Aluminum Starch Octenylsuccinate,Absorbent/Thickener,"Absorbs oil, improves texture","oily,combination"
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Silicone/Film-forming Agent,"Smoothens texture, provides water resistance",all skin types
Terephthalylidene Dicamphor Sulfonic Acid,UV Filter,Protects from UV rays,all skin types
Potassium Cetyl Phosphate,Surfactant/Emulsifier,"Stabilizes formulations, improves texture",all skin types
Drometrizole Trisiloxane,Antioxidant/UV Filter,"Protects from UV rays, reduces free radical damage",all skin types
Stearyl Alcohol,Emollient/Emulsifier,"Stabilizes formulations, softens skin",all skin types
Sodium Methyl Stearoyl Taurate,Surfactant,Cleanses and stabilizes emulsions,all skin types
Silica Silylate,Absorbent/Thickener,"Provides matte texture, absorbs excess oil",oily
Poloxamer 338,Surfactant/Emulsifier,"Cleanses skin, stabilizes formulas",all skin types
Octadecenedioic Acid,Brightening Agent,"Improves skin tone, reduces hyperpigmentation",all skin types
Capryloyl Salicylic Acid,Exfoliant/Brightener,"Exfoliates, reduces acne, improves skin texture","oily,acne-prone skin"
Caprylic/Capric Triglyceride,Emollient,"Softens skin, moisturizes, improves skin texture",dry
Cyclopentasiloxane,Silicone,"Enhances spreadability, improves texture",all skin types
Stearic Acid,Fatty Acid,"Emollient, stabilizes emulsions",dry
Butyrospermum Parkii (Shea) Butter,Butter,"Moisturizes, soothes, and protects skin","dry,sensitive skin"
Polysorbate 60,Emulsifier,"Stabilizes formulations, improves texture",all skin types
Allyl Methacrylates Crosspolymer,Polymer,"Thickens, stabilizes emulsions",all skin types
Retinol,Vitamin A,"Anti-aging, reduces wrinkles",all skin types
Polysorbate 20,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Simmondsia Chinensis (Jojoba) Seed Oil,Oil,"Moisturizes, soothes, and balances oil production","dry,oily"
Chamomilla Recutita (Matricaria) Flower Extract,Extract,"Soothes, reduces inflammation",sensitive skin
Hypericum Perforatum Flower Extract,Extract,"Reduces inflammation, calms skin",sensitive skin
Malva Sylvestris (Mallow) Flower Extract,Extract,"Soothes, hydrates, reduces irritation",sensitive skin
Salvia Officinalis (Sage) Leaf Extract,Extract,"Antioxidant, antimicrobial",oily
Sambucus Nigra Flower Extract,Extract,"Antioxidant, soothes skin",all skin types
Cyclohexasiloxane,Silicone,"Provides smooth texture, enhances spreadability",all skin types
Sorbitol,Humectant,Draws moisture into the skin,all skin types
Tocopheryl Acetate,Vitamin E,"Antioxidant, nourishes skin",all skin types
Ubiquinone,Antioxidant,"Reduces signs of aging, repairs skin",all skin types
BHT,Antioxidant,"Preserves the formulation, protects skin",all skin types
Bisabolol,Soothing Agent,"Reduces irritation, soothes skin",sensitive skin
Dimethicone/Vinyl Dimethicone Crosspolymer,Silicone/Film-forming Agent,"Smoothens texture, provides water resistance",all skin types
Dipotassium Glycyrrhizate,Soothing Agent,"Reduces irritation, calms skin",sensitive skin
Carbomer,Thickener,"Stabilizes formulations, provides texture",all skin types
Glyceryl Acrylate/Acrylic Acid Copolymer,Polymer,"Stabilizes emulsions, thickens formulations",all skin types
Ethylhexylglycerin,Preservative,"Moisturizes, prevents microbial growth",all skin types
Hexylene Glycol,Solvent,"Dissolves ingredients, improves formulation",all skin types
Octyldodecanol,Emollient,Softens and smoothens skin,dry
Diisopropyl Adipate,Emollient,"Moisturizes, improves texture",dry
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Polymer/Thickener,Provides structure and stability to formulas,all skin types
Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone,Silicone/Emollient,"Enhances smooth texture, reduces greasiness",all skin types
Methoxy PEG/PPG-25/4 Dimethicone,Silicone/Emollient,"Reduces greasiness, enhances texture",all skin types
Triethylene Glycol,Humectant,"Retains moisture, improves formulation",all skin types
BHA,Antioxidant,"Prevents oxidation, enhances product shelf life",all skin types
Hamamelis Virginiana (Witch Hazel) Water,Extract,"Soothes skin, reduces inflammation",sensitive skin
Polymethyl Methacrylate,Polymer,"Provides smooth texture, improves product feel",all skin types
Apricot Kernel Oil PEG-6 Esters,Oil,"Moisturizes, softens skin, provides antioxidants",dry
Aloe Barbadensis Leaf Juice,Extract,"Soothes, hydrates, reduces irritation",sensitive skin
Camellia Sinensis (Tea) Extract,Extract,"Antioxidant, protects against environmental stress",all skin types
Aspalathus Linearis (Rooibos) Extract,Extract,"Antioxidant, soothes and calms skin",sensitive skin
Boswellia Serrata Extract,Extract,"Reduces inflammation, improves skin elasticity",sensitive skin
Honey Extract (Extrait De Miel),Extract,"Hydrates, provides antibacterial benefits",all skin types
